"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"purS",8026.641979105,9.83602431504477,0.20304826691937,48.4418038345072,0,0
"purC",32734.5694609888,9.37024486639198,0.282026319308283,33.2247177829859,4.73351147315531e-242,4.22578286821351e-241
"purQ",31078.115940355,9.25048821328815,0.575296911463555,16.0795026515177,3.55219219670719e-58,1.09795031534586e-57
"purL",96387.3912602996,9.21155327406957,0.37895597657934,24.3077134109824,1.62470464874409e-130,8.92191762437475e-130
"purF",45012.3134250264,8.92249174501702,0.41214276147301,21.6490317896832,6.20705460535326e-104,2.82588981747992e-103
"purM",39672.6136775078,8.72314516173702,0.207674084435028,42.0040140562946,0,0
"purH",57669.5393766131,8.58210052895229,0.262145196286251,32.737966022391,4.50428672435876e-235,3.82864371570495e-234
"purD",64304.5973844694,8.55329301498144,0.189078226183257,45.2367953076282,0,0
"purN",14313.1941272044,8.47924860192813,0.228397622246088,37.1249425389907,1.11252152937255e-301,1.251978453477e-300
"chbC",6333.13754941793,7.75249024446323,0.33315240289777,23.2701015422126,8.90487867640062e-120,4.57556145494797e-119
"corA_2",6302.08247935135,7.72720996063792,0.133881543527896,57.7167678009915,0,0
"gspA_2",6555.86968210801,7.68870965841496,0.120835807339669,63.6293978390197,0,0
"yghA",17364.3183415304,7.62450962351563,0.116249924692542,65.5872220449258,0,0
"gspA_1",4337.91435398801,7.53969082398231,0.13900583556022,54.2401028963706,0,0
"dppE",128010.964896031,7.50268477800485,0.0891592226067228,84.149284377443,0,0
"oppB",11971.5004809606,7.41669487496737,0.0937063139961428,79.1482938414658,0,0
"folT_1",6768.50320984339,7.34793179890556,0.114190107215895,64.34823451924,0,0
"dppC",10760.898206604,6.83325441068094,0.0912397490791569,74.8933932813934,0,0
"oppD_2",21914.5876607875,6.64692837062825,0.0738981136226522,89.9471995262237,0,0
"oppF_2",18927.2002491351,6.64455695005338,0.0769874142582405,86.3070543941819,0,0
"clpP_2",181.599723595458,6.43863597655642,0.437669815052994,14.7111721099085,5.46525122831645e-49,1.52683067532337e-48
"feuB_1",4356.9735548871,6.38122755224378,0.101240869759232,63.0301534095809,0,0
"hmuU",8843.19559330573,6.24967404662188,0.0919630655293388,67.9585223768782,0,0
"celA_1",407.453922045018,6.23574726532868,0.285301312005292,21.856707287813,6.71142619327798e-106,3.12678106613942e-105
"yclQ",17428.4422469552,6.18126814930905,0.0887148449067779,69.6756913209324,0,0
"bioY2",26346.5265470409,6.17228162177851,0.0769478304503391,80.2138485991752,0,0
