"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lacS",1243.13434446642,-6.00710949894311,0.301890779522987,-19.8982874151866,4.21071413661346e-88,1.71651050773171e-87
"lacC_2",14064.2950255556,-5.901952429736,0.102088067639778,-57.8123630526661,0,0
"acpA_1",22083.7400890089,-5.55569969793153,0.0905417865232242,-61.3606149300631,0,0
"fabD",26935.9170695946,-5.52105495958673,0.0719063540285022,-76.7811834458787,0,0
"fruA_2",12854.3809841882,-5.38089872325391,0.0606233643616279,-88.7594870379677,0,0
"fabG_1",29286.8031048418,-5.34262557991513,0.0694210198232455,-76.9597679999246,0,0
"glcR_1",8675.5693918516,-5.29744481422996,0.0740613783034616,-71.5277643432996,0,0
"treP_3",3623.5565949209,-5.20607952151219,0.212453104157033,-24.5046055795173,1.31926408109234e-132,7.37127273281663e-132
"fabZ_1",13797.7401838142,-5.17128918184562,0.101382333957133,-51.0077937644657,0,0
"fabF",31845.1665438954,-5.13851814860527,0.077423079398109,-66.3693331310556,0,0
"cfiB_1",44194.4293637872,-5.07640192673529,0.0594119114968895,-85.4441777555173,0,0
"accB",19037.8434157665,-5.0710862225257,0.0881606093683927,-57.5209978567115,0,0
"yvdD",2927.35241867553,-4.83010318893001,0.0963203732994019,-50.1462258033005,0,0
"ahpC",4722.88742607115,-4.80102155672581,0.0848497311086296,-56.5826372576156,0,0
"accD",22203.486959048,-4.73097911085041,0.0749865004003816,-63.091077535155,0,0
"accA",21991.5341866507,-4.72746369003956,0.0794705122510616,-59.4870167075891,0,0
"yfmO_2",11.9093151063075,-4.6828421251802,1.00879903165791,-4.64199704621462,3.45057795138159e-06,4.91445950651317e-06
"ddc",8039.96175785041,-4.67921791575628,0.0621981932546235,-75.2307691093334,0,0
"ahpF",15056.9577091429,-4.46677815333681,0.068153569699653,-65.539900155216,0,0
"fabH",32693.9841437295,-4.41975259815532,0.0654442934521865,-67.5345758203408,0,0
"gmk_2",705.920860977178,-4.35112738736104,0.131691064375825,-33.040414761503,2.13591820057647e-239,1.88574435608906e-238
"marR",16739.2322698444,-4.32895142082091,0.0688599317107593,-62.8660428971137,0,0
"emrB",1410.90328420155,-4.21585497293968,0.11417256456994,-36.9252892655935,1.815650751659e-298,2.02895797283293e-297
"DNPH1",4635.04059508242,-4.08038970764076,0.0666418494854734,-61.22863844783,0,0
"gadC_1",2745.81176649142,-4.06121820627834,0.0795012511750783,-51.083701781431,0,0
"rplM",47348.6732135413,-3.87172998057576,0.0585131693908448,-66.1685227596226,0,0
"ydfK",174.966827938858,-3.56566321129712,0.211455748535863,-16.86245579033,8.49834016846208e-64,2.80585693991785e-63
"gph_1",10764.9648377302,-3.55752539738682,0.0585457834550392,-60.7648439809309,0,0
"fabI",10922.6735346176,-3.51922425121709,0.0757593676521834,-46.4526613708564,0,0
"hrtA_1",58.5920680378023,-3.40813312761718,0.348545806478903,-9.7781498565339,1.39741556609857e-22,2.81597739549246e-22
"cas2_2",10.520497600295,-3.40159615223233,0.803007276103844,-4.23607139494018,2.27464479346792e-05,3.14436192038213e-05
"prmC_1",6440.33978560603,-3.36385422799861,0.0682160805501842,-49.3117487968828,0,0
"bcr",322.146982759459,-3.21201367379398,0.184521911554929,-17.4072208916924,7.27298544320693e-68,2.50479110738032e-67
"sigH",69.073963238271,-3.166314686872,0.323781144186344,-9.77918184466516,1.38324142649638e-22,2.79093409032982e-22
"fabZ_2",6885.24713772065,-3.13774301400362,0.0663322838206294,-47.3034069275899,0,0
"nhaC_3",259.460542318506,-3.11747198204028,0.197279589837778,-15.8023036473452,2.99952086762022e-56,9.06093449235749e-56
"nhaC_4",305.475426721608,-3.10990971608128,0.156796371048687,-19.8340669192887,1.51297724932031e-87,6.15200418425919e-87
"glyQ",2522.06180404535,-3.07627584914617,0.0695927795974899,-44.2039514291383,0,0
"nupC",2923.90472138334,-3.06603590839679,0.0677686115444419,-45.2427139721775,0,0
"rpsI",47358.4113366113,-2.9684788084793,0.0547947537929847,-54.1745076489303,0,0
"rplL",82944.4552301391,-2.94760974252391,0.0452066165654299,-65.2030602258783,0,0
"dauA",4051.16901201484,-2.94486848430272,0.0760340899859091,-38.7308966918453,0,0
"dxs",4375.06180573011,-2.90108501409554,0.0678932766354527,-42.7300781146956,0,0
"der_1",17263.2612420407,-2.83018500717989,0.0505982986812989,-55.9343906997,0,0
"adk",42540.635673697,-2.79462909482165,0.0486720606350418,-57.4175216409399,0,0
"rpmGA_2",1613.70905271281,-2.76041231999334,0.121923481470537,-22.6405306566021,1.72949043468709e-113,8.60973742875382e-113
"scrB_2",7179.31688472703,-2.75693364143896,0.0559766935324539,-49.2514556945126,0,0
"rplJ",169912.429432586,-2.75397602903414,0.0772322807540086,-35.6583542807157,1.74888967132683e-278,1.80304883534211e-277
"cas2_1",7.90496548258555,-2.75033894676882,0.873952336886338,-3.14701252080583,0.00164947898276899,0.00212398663534637
"tagG",2114.47807283739,-2.74260302205892,0.0939250233899728,-29.1999184357053,1.94384385244091e-187,1.41838469232903e-186
