Assembly	190405_pilon_illumina_to_pacbio	multifasta.faa
# contigs (>= 0 bp)	8	7
# contigs (>= 1000 bp)	8	7
# contigs (>= 5000 bp)	8	7
# contigs (>= 10000 bp)	7	6
# contigs (>= 25000 bp)	5	5
# contigs (>= 50000 bp)	2	4
Total length (>= 0 bp)	3136314	3168410
Total length (>= 1000 bp)	3136314	3168410
Total length (>= 5000 bp)	3136314	3168410
Total length (>= 10000 bp)	3128014	3159100
Total length (>= 25000 bp)	3103592	3141846
Total length (>= 50000 bp)	2992679	3109423
# contigs	8	7
Largest contig	2773702	2765010
Total length	3136314	3168410
GC (%)	37.79	37.70
N50	2773702	2765010
N75	2773702	2765010
L50	1	1
L75	1	1
# N's per 100 kbp	0.00	0.00
